"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,17,130525420,,,15180351
2020,5,130525651,0.001,3,15177411
2020,5,130525993,3,3,15180445
2020,5,130502605,0.003,1,15176048
2020,5,130502945,1,1,15179113
2020,5,130505407,0.025,1,15179029
2020,8,130506562,10,5,15179126
2020,2,130506562,0.5,1,15179127
2020,12,130506562,4,1,15179128
2020,5,130506598,1.5,1,15179137
2020,5,130503111,7.8,1,15179158
2020,8,130506698,25,5,15176132
2020,5,130506698,14,1,15176129
2020,12,130506698,0.5,1,15176130
2020,2,130507142,1,1,15179201
2020,12,130507369,2,1,15176196
2020,5,130507472,1,11,15179240
2020,12,130508441,0.001,1,15179332
2020,5,130510022,6.6,1,15176334
2020,5,130508939,455,1,15176435
2020,5,130508960,14,1,15179432
2020,16,130508960,2,9,15179433
2020,4,130511049,1,1,15176527
2020,5,130511240,,,15176550
2020,5,130511345,1,11,15176574
2020,5,130511462,1,11,15179568
2020,5,130514906,1,1,15179573
2020,5,130515129,10.5,1,15179596
2020,2,130515129,1,11,15179595
2020,16,130511832,1,1,15176628
2020,5,130512065,1,11,15176663
2020,12,130512075,1,1,15176669
2020,12,130512334,1,1,15176699
2020,12,130516019,0.002,1,15176739
2020,12,130512755,0.003,1,15176761
2020,16,130516445,1,11,15176791
2020,16,130516489,0.025,1,15176796
2020,5,130516897,1,11,15179801
2020,5,130517860,214,1,15179933
2020,12,130520553,1,11,15177057
2020,12,130520876,1,11,15177112
2020,12,130519101,1,11,15180095
2020,1,130519273,1,1,15180158
2020,12,130524759,0.014,3,15177264
2020,5,130521791,17.1,1,15180266
2020,5,130521878,0.001,1,15177296
2020,5,130524988,0.001,1,15180274
2020,12,130525003,2,1,15180277
2020,5,130521976,0.001,1,15180299
2020,2,130522001,1,11,15180302
2020,11,130522001,0.001,9,15180303
2020,5,130522001,0.005,1,15177330
2020,12,130522581,1,11,15177410
2020,5,130525711,1,11,15177418
2020,5,130525788,0.003,1,15180413
2020,12,130526000,1,11,15177471
2020,5,130522929,180,1,15180452
2020,5,130523192,25,1,15180482
2020,12,125748903,0.001,1,14209947
2020,5,125748903,0.001,1,14209948
2020,5,125748956,0.002,1,14298599
2020,5,125749057,1,1,14209971
2020,12,125751292,1,11,14298644
2020,8,125751292,1,11,14298645
