"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2020,3,159675719,32821848
2020,12,159675722,32821851
2020,12,159675723,32821852
2020,12,159675841,32821905
2020,12,159678444,32821687
2020,2,159675883,32821927
2020,3,159675906,32821936
2020,22,159678511,32821720
2020,12,159681834,32822268
2020,12,159681941,32822291
2020,12,159681984,32822311
2020,12,159679473,32827097
2020,12,159682113,32827112
2020,12,159679517,32827126
2020,12,159682175,32822376
2020,12,159679548,32822379
2020,12,159679575,32827154
2020,19,159682333,32822420
2020,12,159679726,32827200
2020,12,159682413,32827227
2020,3,159680243,32827354
2020,3,159682803,32827364
2020,12,159682851,32822571
2020,12,159682964,32827399
2020,12,159680842,32827511
2020,3,162206622,33478974
2020,12,162201716,33478998
2020,12,162206807,33488652
2020,12,162201817,33479063
2020,3,162207192,33479092
2020,20,162207209,33479097
2020,12,162207376,33479138
2020,12,162202136,33488723
2020,3,162207489,33479159
2020,19,162202238,33479171
2020,3,162207633,33488756
2020,12,162208077,33488843
2020,12,162208416,33479343
2020,19,162208319,33479315
2020,2,162203010,33479328
2020,12,162203207,33488928
2020,12,162208761,33479403
2020,12,162203285,33488940
2020,12,162209101,33489035
2020,12,162208840,33479420
2020,20,162209314,33489073
2020,12,162204055,33489074
2020,12,162209785,33489140
2020,12,162204564,33479663
2020,3,162204651,33479688
2020,19,162210270,33479739
2020,3,162210294,33489231
2020,12,162205057,33489252
2020,19,162210547,33479794
2020,19,162210752,33479821
2020,12,162205999,33489366
2020,2,162211452,33489376
