"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,126691071,0.86,3,14496099
2020,12,126686779,0.015,3,14499204
2020,12,126686816,0.004,1,14499219
2020,5,126640139,11,1,14492602
2020,12,126640468,1.6,1,14492650
2020,13,124168057,,,13799070
2020,5,124168095,8.3,1,13799083
2020,5,124163502,,,13794042
2020,12,124171256,0.01,3,13799403
2020,13,124171256,4.5,9,13794303
2020,5,124175459,0.003,3,13794326
2020,5,124180185,0.179,3,13789564
2020,12,124176293,,,13794451
2020,5,124176526,5.084,1,13794471
2020,5,124176748,2.021,1,13794488
2020,8,124176748,1.061,1,13794487
2020,5,124178279,1,1,13794715
2020,5,124174344,5,1,13799810
2020,5,124185394,0.493,3,13795010
2020,12,124182918,1.422,3,13790213
2020,5,124182918,0.274,3,13790212
2020,5,126690777,0.105,3,14495985
2020,5,126690579,6,10,14495890
2020,5,126690579,1,3,14495891
2020,5,126690861,0.035,3,14496017
2020,17,126690869,61.013,1,14496020
2020,15,126690597,10.7,1,14495901
2020,15,126690597,47,9,14495900
2020,5,126690618,1.41,3,14495909
2020,5,126690621,1.022,3,14495912
2020,5,126690781,0.035,3,14495988
2020,2,126690781,0.035,3,14495987
2020,5,126690806,0.105,3,14496000
2020,5,126690810,0.352,3,14496001
2020,12,126690813,0.105,3,14499171
2020,12,126690826,0.001,3,14496004
2020,5,126690833,2,3,14496007
2020,5,126690869,407.29,1,14496019
2020,12,126690878,0.07,3,14496023
2020,5,126690878,0.423,3,14496022
2020,5,126686710,0.017,3,14499178
2020,5,126690890,,,14496028
2020,5,126686721,0.141,3,14499180
2020,5,126690954,,,14496055
2020,3,130648622,,,15198940
2020,12,130648597,,,15198937
2020,17,130648641,,,15198943
2020,5,130651718,221,1,15204043
2020,12,130651718,5,1,15198954
2020,5,130648677,,,15198957
2020,8,130648702,9,9,15198968
2020,5,130648702,5,1,15204048
2020,4,130651828,0.001,3,15204063
2020,17,130648711,1,1,15198972
2020,5,130651878,9,9,15204072
2020,12,130651917,,,15204085
2020,12,130648852,,,15204079
2020,4,130648935,,,15199018
2020,5,130651923,,,15198997
2020,13,130649460,1,9,15199107
2020,12,130651967,,,15204098
2020,12,130648942,,,15199021
2020,16,130649090,9,1,15199045
2020,5,130649090,2.6,1,15199046
2020,4,130652375,2,9,15204156
2020,4,130652375,1.352,7,15199052
2020,15,130652405,0.088,3,15204158
2020,5,130652407,0.052,3,15199057
2020,12,130652407,0.035,3,15204159
2020,8,130652442,41.5,9,15199064
2020,5,130652442,3,1,15199061
2020,12,130649225,0.271,3,15199065
2020,5,130649225,3.174,3,15204166
2020,12,130652500,12.34,1,15204174
2020,12,130652520,1,11,15204177
2020,5,130649344,203,1,15204188
2020,5,130652562,0.719,3,15204192
2020,12,130649392,0.215,3,15204202
2020,4,130649478,0.141,3,15199110
2020,8,130649478,5,9,15199111
2020,12,130649478,23,9,15199112
2020,5,130654926,0.097,3,15199153
2020,5,130654939,0.031,3,15199155
2020,12,130654939,0.114,3,15199156
2020,5,130653308,0.137,3,15204282
2020,12,130655124,0.23,3,15199168
2020,5,130643768,3,1,15203497
2020,12,130643768,6,9,15203495
2020,5,124169151,16.48,3,13794152
2020,5,124176913,0.204,3,13794507
2020,12,124177215,0.007,3,13799697
2020,12,124163040,1.1,1,13793976
2020,12,124176200,,,13794437
2020,5,124186779,24,1,13800860
2020,16,124162096,,,13793783
2020,5,124173686,1.247,3,13789718
2020,5,124163695,2.3,1,13794070
2020,5,124158435,13,1,13799009
2020,7,124167622,1,11,13789192
2020,12,124158249,1,9,13798963
2020,5,124158249,1,11,13789195
2020,12,124181907,0.041,1,13799818
2020,8,124175081,,,13794271
2020,5,124175451,,,13794324
2020,5,124184577,0.055,3,13789816
2020,12,124184577,0.035,3,13789817
2020,17,124185550,14.09,1,13800266
2020,12,126640686,4.5,1,14486988
2020,5,126635437,5,1,14486989
2020,5,126635591,1,1,14487012
2020,12,126641465,3,3,14487084
2020,12,126636506,1,1,14487101
2020,5,126642224,,,14492852
2020,5,126642465,3,4,14492868
2020,12,126642571,1,1,14492877
2020,5,126638344,4,3,14487262
2020,5,126642947,10,4,14492904
2020,5,126643094,41.6,1,14492920
2020,4,126643096,2,1,14492921
2020,17,126643270,2,3,14492931
2020,17,126643333,3,1,14492935
2020,4,126643445,3,1,14492949
2020,4,126683271,1,9,14495213
2020,12,126685220,1,11,14498823
2020,5,126682105,1,11,14495007
2020,5,126685579,1,3,14498908
2020,8,126685380,4,9,14495074
2020,5,126685380,3.5,1,14495075
2020,5,126682474,1,1,14495087
2020,12,126683752,15.254,1,14495316
2020,5,126682516,,,14495102
2020,5,126682517,1.7,1,14495103
2020,5,126685569,2.3,1,14498906
2020,5,126685481,2.6,1,14498884
2020,12,126682561,1,11,14495114
2020,12,126682579,1,11,14495121
2020,5,126685541,,,14498899
2020,16,126682768,8,9,14495150
2020,16,126682802,,,14495155
2020,12,126685670,,,14495164
2020,4,126685853,1,11,14495206
2020,5,126684121,0.105,3,14495388
2020,5,126684122,131,1,14495389
2020,12,126684160,0.105,3,14499025
2020,12,126684166,,,14499026
2020,5,126684419,,,14499040
2020,5,126684428,0.352,3,14495439
2020,5,126690255,9.069,1,14495745
2020,5,126686480,0.56,3,14499085
2020,5,126684519,0.617,3,14495464
2020,5,126684531,,,14495466
2020,17,126690282,2.073,1,14495758
